code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1515,2285,2026-06-26,-4.6725073,-4.672507300792658,54.60081190798376,1798,,12.803989,,1.1429218,,,,,2.9787235,,,,2428.72,,,4535,1446,51.543739279588344,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.936Z
1518,1498,2026-06-26,-0.39893618,2.6027397260273974,42.39543726235742,555,,10.101146,,1.0308335,,,,,4.255319,,,,1451.44,,,1600,999,74.48979591836735,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.936Z
1605,3351,2026-06-26,1.9470642,-7.019977802441732,63.18480642804967,38945,,10.141945,,0.79643077,,,,,3.0422878,,,,3534.72,,,4955,1990,34.34125269978402,,,,,,,,,,,,,,,,,,割安,65,2026-06-28T11:20:38.937Z
1662,1610,2026-06-26,2.6131294,-10.005589714924538,54.214559386973185,4122,,7.709989,,0.6567906,,,,,4.142766,,,,1704.36,,,2819,1008,26.515151515151516,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.938Z
1663,3945,2026-06-26,3.4076016,91.50485436893204,185.8695652173913,2107,,25.22056,,0.98094946,,,,,1.4154653,,,,2008.3,,,3960,1353,42.98245614035088,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.938Z
1711,214,2026-06-26,-1.3824885,-8.547008547008547,-8.936170212765958,22,,,,3.8294978,,,,,0,,,,223.52,,,341,212,36.666666666666664,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.939Z
1716,1388,2026-06-26,1.1661808,0.21660649819494585,7.931570762052877,156,,9.140599,,0.7775841,,,,,2.9154519,,,,1388.56,,,1626,1265,47.05882352941176,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.940Z
1717,904,2026-06-26,-0.33076075,-0.33076074972436603,-4.540654699049631,106,,11.389693,,1.7450962,,,,,0,,,,899.72,,,1155,880,63.93442622950819,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.941Z
1718,7090,2026-06-26,0.5673759,2.6049204052098407,13.987138263665594,76,,4.9309735,,0.43503904,,,,,4.255319,,,,6967.6,,,9970,6220,57.333333333333336,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.942Z
1719,1755.5,2026-06-26,1.3860815,-2.553427699139606,16.79973386560213,2754,,9.259455,,1.3224186,,,,,4.620271499999999,,,,1756.08,,,2270,1446,53.278688524590166,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.943Z
1720,1178,2026-06-26,2.2569444,-0.5067567567567568,15.94488188976378,1252,,9.337349,,1.123333,,,,,3.4722224,,,,1161.2,,,1693,997,62.5668449197861,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.943Z
1721,5401,2026-06-26,0.95327103,-0.5157487566771045,63.27085852478839,6240,,17.451855,,1.5586393,,,,,2.4299065,,,,5390.72,,,6211,3269,50.47233468286099,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.944Z
1723,2305,2026-06-26,0.39198607,-5.918367346938775,103.08370044052863,1469,,17.390978,,3.135227,,,,,0,,,,2284.52,,,3147.5,1068.75,66.03773584905662,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.945Z
1724,693,2026-06-26,0.14450866,-1.9801980198019802,7.109737248840804,31,,13.298791,,1.2594917,,,,,1.1560693,,,,696.76,,,752,635,50,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.945Z
1736,2433,2026-06-26,2.0553691,4.420600858369099,81.4317673378076,377,,10.395215,,1.4211092,,,,,3.4395974000000002,,,,2341.6,,,2792,1324,72.81795511221945,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.946Z
1758,2400,2026-06-26,-1.2345679,-4.038384646141544,32.231404958677686,48,,10.341262,,0.49543947,,,,,0,,,,2482.28,,,2805,1798,48.57768052516411,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.947Z
1762,3500,2026-06-26,1.010101,-2.7777777777777777,16.086235489220563,1219,,10.660981,,0.8297732,,,,,3.7518040000000004,,,,3466,,,4420,2912,59.770114942528735,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.947Z
1764,2925,2026-06-26,0.86206895,0.6191950464396285,12.413528055342045,36,,7.4349914,,0.63052666,,,,,4.0344827,,,,2913.2,,,3495,2595,54.6583850931677,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.948Z
1766,12570,2026-06-26,1.045016,-1.7200938232994525,-9.95702005730659,1395,,10.152243,,1.1993066,,,,,2.8938906,,,,12418.4,,,15450,11800,57.55813953488372,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.948Z
1768,1097,2026-06-26,3.588291,7.338551859099804,21.349557522123895,80,,5.8616085,,0.7707982,,,,,4.7214350000000005,,,,1017.44,,,1796,869,70.4035874439462,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.949Z
1770,1847,2026-06-26,0.21703744,7.948568088836938,24.377104377104377,170,,9.216567,,0.8214098,,,,,3.2555617000000003,,,,1789.88,,,2000,1449,57.94979079497908,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.950Z
1780,1416,2026-06-26,0.4255319,2.460202604920405,11.496062992125983,272,,8.467381,,1.9439441,,,,,0.17730496,,,,1379.04,,,1696,1250,67.34693877551021,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.950Z
1783,50,2026-06-26,-1.9607844,-10.714285714285714,-9.090909090909092,97,,,,1.2828406,,,,,0,,,,54.16,,,74,48,25,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.951Z
