code,date,open,high,low,close,volume,adj_close
7261,2026-06-01,1144,1145,1101,1120.5,7510000,1120.5
7261,2026-06-02,1116,1132.5,1088,1126,8443800,1126
7261,2026-06-03,1130.5,1146.5,1121,1122,8623400,1122
7261,2026-06-04,1113,1146,1108,1125,8272600,1125
7261,2026-06-05,1125,1136,1120,1128,5318600,1128
7261,2026-06-08,1099,1123,1097.5,1112.5,6176700,1112.5
7261,2026-06-09,1124.5,1151,1122,1143,8061300,1143
7261,2026-06-10,1140.5,1148,1105,1114,6715300,1114
7261,2026-06-11,1084.5,1098,1070,1096.5,7736900,1096.5
7261,2026-06-12,1114,1142,1101.5,1131.5,8668400,1131.5
6902,2026-05-15,1885.5,1958.5,1885,1944,9868300,1944
6902,2026-05-18,1900,1908,1838.5,1838.5,8048500,1838.5
6902,2026-05-19,1866,1870,1835.5,1859.5,6452700,1859.5
6902,2026-05-20,1865,1872.5,1814.5,1835.5,6774500,1835.5
6902,2026-05-21,1860,1869,1843.5,1850,5200800,1850
6902,2026-05-22,1850,1851,1833.5,1834.5,7670100,1834.5
6902,2026-05-25,1850,1865.5,1817,1837,8828900,1837
6902,2026-05-26,1841,1851,1831,1850.5,5708400,1850.5
6902,2026-05-27,1860,1894,1852,1888.5,8515000,1888.5
6902,2026-05-28,1889,1904.5,1871.5,1886,6752200,1886
6902,2026-05-29,1870,1927.5,1868,1908,15164500,1908
6902,2026-06-01,1910,1910.5,1857,1869,6781500,1869
6902,2026-06-02,1853,1873,1824.5,1867.5,7086000,1867.5
6902,2026-06-03,1874.5,1942.5,1861.5,1926,8136900,1926
6902,2026-06-04,1904.5,1941,1901.5,1907,6624500,1907
6902,2026-06-05,1907,1914.5,1870,1887,10318600,1887
6902,2026-06-08,1880,1931,1872,1903.5,9215000,1903.5
6902,2026-06-09,1943,1953,1918.5,1925,8520200,1925
6902,2026-06-10,1920,1925,1865,1882.5,7457200,1882.5
6902,2026-06-11,1824,1842,1813,1834.5,11073000,1834.5
6902,2026-06-12,1851,1863.5,1841,1854,9110900,1854
7259,2026-05-15,2395,2480.5,2390,2480.5,3820100,2480.5
7259,2026-05-18,2438,2461,2359,2371.5,2271300,2371.5
7259,2026-05-19,2390,2398,2353.5,2389,1607500,2389
7259,2026-05-20,2375,2380,2306.5,2329,1664100,2329
7259,2026-05-21,2379,2393,2355,2356,1564100,2356
7259,2026-05-22,2373,2375.5,2315.5,2319.5,1553600,2319.5
7259,2026-05-25,2369.5,2388,2327,2359.5,1459100,2359.5
7259,2026-05-26,2360,2362,2319,2342,1553400,2342
7259,2026-05-27,2315,2381,2312.5,2359,2585100,2359
7259,2026-05-28,2353,2365.5,2305,2329,1908400,2329
7259,2026-05-29,2372,2424.5,2340.5,2413.5,5404400,2413.5
7259,2026-06-01,2379,2392,2320,2326,2384400,2326
7259,2026-06-02,2276,2361.5,2263,2350,2525500,2350
7259,2026-06-03,2399,2458.5,2372.5,2430.5,2356100,2430.5
7259,2026-06-04,2402.5,2453.5,2400.5,2440,2390400,2440
7259,2026-06-05,2430,2437,2375,2392,2345700,2392
7259,2026-06-08,2324.5,2382.5,2324,2360.5,1524600,2360.5
7259,2026-06-09,2460.5,2499.5,2408,2435,3215800,2435
7259,2026-06-10,2361,2375,2293,2328,2222700,2328
7259,2026-06-11,2264.5,2287,2225.5,2287,1755200,2287
7259,2026-06-12,2300,2323,2267.5,2273,2108200,2273
8058,2026-05-15,5879,6012,5780,5849,9795100,5849
8058,2026-05-18,5799,5800,5500,5500,8787900,5500
8058,2026-05-19,5508,5604,5492,5519,7798600,5519
8058,2026-05-20,5527,5582,5362,5436,7464700,5436
8058,2026-05-21,5501,5510,5345,5411,7353700,5411
8058,2026-05-22,5411,5450,5290,5432,7695500,5432
8058,2026-05-25,5400,5419,5283,5320,8281500,5320
8058,2026-05-26,5271,5278,5144,5186,10540500,5186
8058,2026-05-27,5182,5217,5093,5124,10092200,5124
8058,2026-05-28,5067,5144,5003,5038,40475700,5038
8058,2026-05-29,5000,5088,4966,5065,23956500,5065
8058,2026-06-01,4970,4984,4862,4921,10926000,4921
8058,2026-06-02,4865,5019,4864,4924,10546100,4924
8058,2026-06-03,4974,5004,4931,4979,6640600,4979
8058,2026-06-04,4984,4999,4871,4896,6381700,4896
8058,2026-06-05,4919,4967,4855,4859,6647000,4859
8058,2026-06-08,4824,4849,4760,4833,9103700,4833
8058,2026-06-09,4870,4905,4768,4805,7678500,4805
8058,2026-06-10,4750,4755,4575,4615,10613300,4615
8058,2026-06-11,4583,4608,4522,4605,6907100,4605
8058,2026-06-12,4627,4712,4610,4683,11085600,4683
8031,2026-05-15,6117,6225,6043,6106,5560900,6106
8031,2026-05-18,6078,6099,5866,5883,4283400,5883
8031,2026-05-19,5950,5964,5840,5875,3701200,5875
8031,2026-05-20,5919,5919,5770,5804,4833600,5804
8031,2026-05-21,5844,5849,5661,5662,5265100,5662
8031,2026-05-22,5602,5617,5458,5580,6872100,5580
8031,2026-05-25,5525,5582,5437,5465,6225700,5465
8031,2026-05-26,5431,5463,5336,5381,5569200,5381
8031,2026-05-27,5432,5464,5303,5359,5963000,5359
8031,2026-05-28,5308,5401,5272,5327,5918500,5327
8031,2026-05-29,5300,5336,5218,5290,13541700,5290
8031,2026-06-01,5211,5240,4962,5033,8097900,5033
8031,2026-06-02,5040,5146,4962,5066,6283800,5066
8031,2026-06-03,5085,5108,5000,5059,5080500,5059
8031,2026-06-04,5070,5115,4995,5041,4438300,5041
8031,2026-06-05,5000,5130,4998,5039,3997200,5039
8031,2026-06-08,4955,4992,4877,4932,5535300,4932
8031,2026-06-09,4930,4978,4905,4931,5554400,4931
8031,2026-06-10,4975,4980,4810,4849,5402000,4849
8031,2026-06-11,4779,4857,4763,4857,4948300,4857
8031,2026-06-12,4845,4917,4830,4886,8465200,4886
8001,2026-05-15,2059.5,2080.5,2042.5,2059,17529600,2059
8001,2026-05-18,2058,2058.5,1984,1993,13790600,1993
8001,2026-05-19,2001,2011.5,1970,1980.5,15276800,1980.5
8001,2026-05-20,1998.5,1999,1918,1935,16778700,1935
8001,2026-05-21,1968,1968.5,1933.5,1949,12057400,1949
8001,2026-05-22,1942.5,1960,1924,1949.5,10555100,1949.5
8001,2026-05-25,1926.5,1956.5,1913.5,1951,10132800,1951
8001,2026-05-26,1947.5,1947.5,1912,1915,14686600,1915
8001,2026-05-27,1938,1946.5,1910.5,1927.5,13334300,1927.5
8001,2026-05-28,1932.5,1939,1919,1930,14670800,1930
8001,2026-05-29,1923.5,1951.5,1919.5,1935.5,40993000,1935.5
8001,2026-06-01,1906,1915,1859.5,1879.5,18077500,1879.5
8001,2026-06-02,1850,1871,1827,1857.5,17037100,1857.5
8001,2026-06-03,1859,1870,1846,1858.5,12839200,1858.5
8001,2026-06-04,1865.5,1871.5,1844.5,1854.5,9562100,1854.5
8001,2026-06-05,1879,1885,1860.5,1873.5,11548700,1873.5
8001,2026-06-08,1851,1864.5,1827,1844,13626600,1844
8001,2026-06-09,1850,1867.5,1837.5,1848,12011200,1848
8001,2026-06-10,1862.5,1866,1835.5,1855.5,13105600,1855.5
8001,2026-06-11,1825,1835,1802,1826,17426800,1826
8001,2026-06-12,1866,1886,1856.5,1876.5,20348700,1876.5
8053,2026-05-15,7595,7726,7428,7510,2812200,7510
8053,2026-05-18,7510,7554,7220,7257,2584500,7257
8053,2026-05-19,7295,7349,7213,7217,2331200,7217
8053,2026-05-20,7217,7254,6936,7011,4191600,7011
8053,2026-05-21,7142,7187,7010,7120,1953600,7120
8053,2026-05-22,7071,7168,7032,7131,2040400,7131
8053,2026-05-25,7131,7361,7098,7361,2557700,7361
8053,2026-05-26,7300,7448,7245,7360,2758800,7360
8053,2026-05-27,7330,7350,7179,7190,3034800,7190
8053,2026-05-28,7045,7142,6997,7105,4614600,7105
8053,2026-05-29,7104,7251,7099,7099,10796100,7099
8053,2026-06-01,7110,7128,6914,6982,3634700,6982
8053,2026-06-02,6821,6898,6746,6820,3123400,6820
8053,2026-06-03,6920,6962,6842,6842,2636000,6842
8053,2026-06-04,6782,6847,6716,6775,2552300,6775
8053,2026-06-05,6776,6886,6775,6842,1919700,6842
8053,2026-06-08,6742,6780,6539,6617,3290600,6617
8053,2026-06-09,6698,6705,6526,6565,3377400,6565
8053,2026-06-10,6545,6566,6319,6338,4365900,6338
8053,2026-06-11,6238,6264,6119,6186,4708300,6186
8053,2026-06-12,6286,6325,6200,6259,4570300,6259
8002,2026-05-15,5922,6078,5792,5856,5929200,5856
8002,2026-05-18,5806,5849,5596,5638,3827200,5638
8002,2026-05-19,5706,5724,5525,5553,4049800,5553
8002,2026-05-20,5451,5484,5287,5374,5603600,5374
8002,2026-05-21,5467,5477,5322,5325,4102500,5325
8002,2026-05-22,5331,5356,5235,5271,4239600,5271
8002,2026-05-25,5271,5367,5216,5312,3987700,5312
8002,2026-05-26,5297,5407,5221,5348,3509100,5348
8002,2026-05-27,5348,5411,5220,5220,4638300,5220
8002,2026-05-28,5170,5264,5150,5224,4813500,5224
8002,2026-05-29,5180,5259,5135,5196,10715100,5196
8002,2026-06-01,4981,4990,4833,4918,6717400,4918
8002,2026-06-02,4848,4940,4823,4910,5020200,4910
8002,2026-06-03,4899,5039,4873,4993,4772000,4993
8002,2026-06-04,4997,5065,4947,4968,3271700,4968
8002,2026-06-05,5018,5089,4983,5044,3343800,5044
8002,2026-06-08,4960,4996,4820,4870,4973100,4870
8002,2026-06-09,4908,4945,4862,4894,3951700,4894
8002,2026-06-10,4850,4880,4747,4795,4912100,4795
8002,2026-06-11,4780,4825,4713,4812,3907200,4812
8002,2026-06-12,4869,4951,4848,4899,5513700,4899
8306,2026-05-15,2910.5,2951.5,2877.5,2929,47220900,2929
8306,2026-05-18,2979,3063,2973,2995,66978500,2995
8306,2026-05-19,3030,3110,3026,3108,55685600,3108
8306,2026-05-20,3162,3170,3024,3030,51809100,3030
8306,2026-05-21,3090,3148,3067,3067,52123700,3067
8306,2026-05-22,3098,3140,3073,3091,40421700,3091
8306,2026-05-25,3090,3095,3043,3066,32348200,3066
8306,2026-05-26,3041,3088,3011,3061,33909800,3061
8306,2026-05-27,3061,3066,3017,3031,34986500,3031
8306,2026-05-28,3010,3011,2964,2982,41665800,2982
8306,2026-05-29,2995,3034,2984,2999,69856600,2999
8306,2026-06-01,2995,3040,2976.5,3023,34763500,3023
8306,2026-06-02,3013,3047,2972.5,3046,37371200,3046
8306,2026-06-03,3062,3149,3052,3137,46784900,3137
8306,2026-06-04,3137,3208,3081,3169,57793900,3169
8306,2026-06-05,3210,3273,3202,3219,42730200,3219
8306,2026-06-08,3200,3217,3135,3168,43619100,3168
8306,2026-06-09,3197,3249,3168,3180,48649000,3180
8306,2026-06-10,3230,3305,3171,3183,60312600,3183
8306,2026-06-11,3113,3148,3080,3141,43885600,3141
8306,2026-06-12,3141,3205,3129,3162,54083500,3162
8316,2026-05-15,5748,5814,5630,5702,15463800,5702
8316,2026-05-18,5758,5817,5703,5732,14734800,5732
8316,2026-05-19,5896,5974,5845,5942,21178400,5942
8316,2026-05-20,6088,6109,5842,5882,18145400,5882
8316,2026-05-21,6050,6183,6031,6031,18212600,6031
8316,2026-05-22,6045,6083,5978,6006,12376300,6006
8316,2026-05-25,6010,6086,5970,6056,13205000,6056
8316,2026-05-26,6000,6084,5982,6065,10432400,6065
8316,2026-05-27,6017,6030,5933,5950,13219300,5950
8316,2026-05-28,5914,5939,5810,5849,15094100,5849
